Time,Temperature,Wind speed,Relative humidity (%),Solar radiation,Active power of purchased electricity at the receiving end
1/1/2015 0:00,4.2,1.5,79,0,546.6209994
1/1/2015 1:00,4.6,3.6,68,0,587.0333313
1/1/2015 2:00,4.7,3.6,60,0,580.4126664
1/1/2015 3:00,4.4,4.6,50,0,558.5333331
1/1/2015 4:00,2.9,2.6,49,0,593.818332
1/1/2015 5:00,2,2.3,55,0,596.9970012
1/1/2015 6:00,1.1,1,59,0,594.6446664
1/1/2015 7:00,0,2.3,64,0,588.3013311
1/1/2015 8:00,2.5,3.1,54,0.29,578.6649999
1/1/2015 9:00,3.9,5.4,43,0.87,560.258
1/1/2015 10:00,4.2,3.1,36,1.09,585.4489998
1/1/2015 11:00,4.7,0.8,37,0.78,586.2880001
1/1/2015 12:00,4.3,0.6,35,0.66,584.2219997
1/1/2015 13:00,4.9,2.7,36,0.84,587.585667
1/1/2015 14:00,3.7,1.6,42,0.49,603.5873332
1/1/2015 15:00,3.7,2.3,41,0.37,587.2710007
1/1/2015 16:00,3.2,1,45,0.45,598.9203332
1/1/2015 17:00,-0.1,1.4,62,0.04,614.2689993
1/1/2015 18:00,-1.7,1.6,70,0,592.5679988
1/1/2015 19:00,-0.3,2.4,59,0,634.0249982
1/1/2015 20:00,0.2,2.8,47,0,604.0946678
1/1/2015 21:00,0.6,4.5,48,0,604.0939998
1/1/2015 22:00,0.6,4.8,46,0,621.0183325
1/1/2015 23:00,-0.5,3.5,51,0,596.6836668
1/2/2015 0:00,-0.9,3.4,54,0,609.4990008
1/2/2015 1:00,-1.6,2.9,55,0,598.4439993
1/2/2015 2:00,-0.8,3,47,0,598.1596647
1/2/2015 3:00,-1.2,3.5,49,0,590.4346661
1/2/2015 4:00,-0.8,3.1,45,0,617.953334
1/2/2015 5:00,-0.9,2.6,44,0,599.1146688
1/2/2015 6:00,-0.8,2.8,44,0,610.3916679
1/2/2015 7:00,-1.4,2.9,45,0,603.1233332
1/2/2015 8:00,0.8,3.1,41,0.3,587.3203336
1/2/2015 9:00,1.9,2.9,38,0.76,607.9700009
1/2/2015 10:00,2.5,3,39,0.58,598.8036664
1/2/2015 11:00,3.5,4.2,33,1,607.417666
